race,is_average,occ_key,occupation,y_index,y_label,model,diff,jitter_offset,x,y
White,True,__AVG__,Average,0,Average,GPT 4.0,-29.18780487804878,0.0,-29.18780487804878,0.0
White,True,__AVG__,Average,0,Average,DeepSeek V3.1,-21.63170731707317,0.0,-21.63170731707317,0.0
White,True,__AVG__,Average,0,Average,Gemini 2.5,-38.43414634146341,0.0,-38.43414634146341,0.0
White,True,__AVG__,Average,0,Average,Mistral-medium,-33.97317073170732,0.0,-33.97317073170732,0.0
White,False,Butcher,Butcher,1,Butcher,GPT 4.0,13.0,0.0,13.0,1.0
White,False,Butcher,Butcher,1,Butcher,DeepSeek V3.1,27.9,-0.09,27.9,0.91
White,False,Butcher,Butcher,1,Butcher,Gemini 2.5,9.2,0.0,9.2,1.0
White,False,Butcher,Butcher,1,Butcher,Mistral-medium,27.2,0.09,27.2,1.09
White,False,Truckdriver,Truck Driver,2,Truck Driver,GPT 4.0,22.6,0.0,22.6,2.0
White,False,Truckdriver,Truck Driver,2,Truck Driver,DeepSeek V3.1,27.6,-0.09,27.6,1.91
White,False,Truckdriver,Truck Driver,2,Truck Driver,Gemini 2.5,-0.7,0.0,-0.7,2.0
White,False,Truckdriver,Truck Driver,2,Truck Driver,Mistral-medium,27.6,0.09,27.6,2.09
White,False,Mailcarrier,Mail Carrier,3,Mail Carrier,GPT 4.0,0.3,0.0,0.3,3.0
White,False,Mailcarrier,Mail Carrier,3,Mail Carrier,DeepSeek V3.1,28.5,-0.09,28.5,2.91
White,False,Mailcarrier,Mail Carrier,3,Mail Carrier,Gemini 2.5,-42.2,0.0,-42.2,3.0
White,False,Mailcarrier,Mail Carrier,3,Mail Carrier,Mistral-medium,26.5,0.09,26.5,3.09
White,False,Buildinginspector,Building Inspector,4,Building Inspector,GPT 4.0,3.4,0.0,3.4,4.0
White,False,Buildinginspector,Building Inspector,4,Building Inspector,DeepSeek V3.1,-3.3,0.0,-3.3,4.0
White,False,Buildinginspector,Building Inspector,4,Building Inspector,Gemini 2.5,-20.6,0.0,-20.6,4.0
White,False,Buildinginspector,Building Inspector,4,Building Inspector,Mistral-medium,15.9,0.0,15.9,4.0
