"model","group","alpha","se_alpha","p_alpha","p_alpha_fdr","alpha_fmt","alpha_code","beta","se_beta","p_beta","p_beta_fdr","beta_fmt","beta_code"
"ChatGPT","Asian",6.65893043792467,0.853748373568147,6.20837563564479e-15,1.24167512712896e-13,"6.659***","+++",22.3286141388658,2.36515288723656,1.91801801991264e-19,3.83603603982529e-18,"22.329***","+++"
"ChatGPT","Black",4.89076382916543,0.805280828063801,1.25257855329497e-09,1.25257855329497e-08,"4.891***","+++",25.1696204351709,2.9203642075293,1.27130994952093e-16,1.27130994952093e-15,"25.17***","+++"
"ChatGPT","Hispanic",1.43730697556512,0.560725059036687,0.0103682187014523,0.015951105694542,"1.437*","+++",7.46997088308555,1.78372979778947,0.000286495097859783,0.000409278711228262,"7.47***","+++"
"ChatGPT","White",-2.97068573688055,0.730344113885546,4.75171232519052e-05,0.000292854312321306,"-2.971***","---",10.8137739390197,2.52570591630463,0.000102095594474988,0.00017015932412498,"10.814***","+++"
"ChatGPT","Women",1.49135832898232,0.371123529119262,5.85708624642613e-05,0.000292854312321306,"1.491***","+++",10.847656749786,1.59640653748346,6.88799775017292e-10,3.44399887508646e-09,"10.848***","+++"
"DeepSeek","Asian",5.88586763330229,1.53273755574449,0.00012298350306287,0.000491934012251482,"5.886***","+++",17.7445901491005,3.78479241042455,9.68107898471434e-06,3.22702632823811e-05,"17.745***","+++"
"DeepSeek","Black",2.62515479064226,0.695562431397938,0.00016055614018684,0.000535187133956135,"2.625***","+++",26.2403868472342,3.74057641868345,1.50179627749647e-11,1.00119751833098e-10,"26.24***","+++"
"DeepSeek","Hispanic",1.96754949577925,0.850934787335613,0.0207654939428782,0.0296649913469689,"1.968*","+++",8.62029209510663,2.69123657452522,0.00463272334256657,0.00579090417820821,"8.62**","+++"
"DeepSeek","White",-1.60723823184314,0.771240860937638,0.0371634370083853,0.0495512493445137,"-1.607*","---",6.84896925819275,2.75655717757186,0.033851298973788,0.0398250576162212,"6.849*","+++"
"DeepSeek","Women",1.51676136240391,0.508932793977993,0.00287986613445556,0.00575973226891112,"1.517**","+++",11.5049587739723,2.34556101731131,7.51147895995939e-06,3.00459158398376e-05,"11.505***","+++"
"Gemini","Asian",2.32166824602004,0.742491397651568,0.00176682751179236,0.00392628335953858,"2.322**","+++",8.15506931801823,1.77787852681791,5.70968780032223e-05,0.000114193756006445,"8.155***","+++"
"Gemini","Black",0.255571378373834,0.73560663847574,0.728268743863492,0.766598677751044,"0.256","0",10.4458067906873,2.25643014465297,2.83697239031108e-05,7.0924309757777e-05,"10.446***","+++"
"Gemini","Hispanic",1.22793337098395,0.443410789501594,0.00561784878356123,0.0102142705155659,"1.228*","+++",6.7031024174689,1.40832769860427,5.13148144097105e-05,0.000114032920910468,"6.703***","+++"
"Gemini","White",-1.80628583264168,0.512620563106828,0.000425676221566979,0.00121621777590565,"-1.806**","---",4.11278926011085,1.74846140431058,0.0750265570103042,0.0833628411225602,"4.113","0"
"Gemini","Women",0.138214406499259,0.254644409670187,0.587285304008353,0.652539226675948,"0.138","0",4.67977615167865,0.91987287690747,6.32597104659475e-05,0.000115017655392632,"4.68***","+++"
"Mistral","Asian",5.40188724261964,1.69597090131044,0.00144689158225116,0.00361722895562791,"5.402**","+++",17.6056390770529,4.34830457377496,0.000134060738822956,0.000206247290496856,"17.606***","+++"
"Mistral","Black",1.554366789267,1.2282543688404,0.205688973430133,0.241987027564863,"1.554","0",17.870342537264,4.79331314945174,0.000432266886527231,0.000576355848702975,"17.87***","+++"
"Mistral","Hispanic",0.0682330650380167,0.600919832860847,0.909596348272094,0.909596348272094,"0.068","0",1.78287651032588,1.83867467296239,0.670265939010928,0.670265939010928,"1.783","0"
"Mistral","White",-1.323884133432,0.778470126906199,0.08901381910994,0.111267273887425,"-1.324","0",3.78924996476149,2.70729081333271,0.302881638179934,0.318822777031509,"3.789","0"
"Mistral","Women",1.19233789829458,0.458475702007186,0.0093045518666789,0.0155075864444648,"1.192*","+++",9.5842616177575,1.98488316407063,1.52656733977969e-05,4.36162097079912e-05,"9.584***","+++"
