"group","method","center_at","alpha","se_alpha","p_alpha","p_alpha_fdr","alpha_fmt","alpha_effect_pp_pct","alpha_code","beta","se_beta","p_beta","p_beta_fdr","beta_fmt","beta_dev_round","beta_code"
"Asian","Raw",0.044,-2.20337385377027,0.201396362070021,7.38041249834122e-28,1.84510312458531e-27,"-2.203***",5.54,"++",14.9565393575079,1.93583424907741,5.61273838848699e-13,1.40318459712175e-12,"14.957***",1.536,"+++"
"Black","Raw",0.111,-4.77827631024274,0.304560572246052,1.79629775974201e-55,8.98148879871007e-55,"-4.778***",-10.27,"---",17.4404897659619,1.80083835081556,6.89096127457181e-20,3.44548063728591e-19,"17.44***",-0.789,"---"
"Hispanic","Raw",0.182,-0.73412574636934,0.189875989825075,0.000110479428739413,0.000184132381232355,"-0.734***",14.23,"+++",5.69424106319854,1.48567568359534,0.00157949320691464,0.0019743665086433,"5.694**",0.259,"+++"
"White","Raw",0.786,-0.122232701002877,0.155265546933579,0.431135912935818,0.431135912935818,"-0.122",-31.65,"---",5.94841647099882,1.71915054017428,0.00399687987532428,0.00399687987532428,"5.948**",0.409,"+++"
"Women","Raw",0.36,-0.289819850132855,0.205256407558071,0.157953113338406,0.197441391673008,"-0.29",6.8,"++",7.81582828294965,1.04224884656234,6.1708233198213e-11,1.02847055330355e-10,"7.816***",0.087,"+"
"Asian","Robust",0.044,-2.47372360280645,0.0211890104777662,0,0,"-2.474***",3.37,"++",18.8908242877954,0.206098946416546,0,0,"18.891***",2.101,"+++"
"Black","Robust",0.111,-5.80981848087954,0.0896168869754089,0,0,"-5.81***",-10.8,"---",21.2147341558829,0.456491574283467,0,0,"21.215***",-0.893,"---"
"Hispanic","Robust",0.182,-0.9644580699219,0.0123218129329869,0,0,"-0.964***",9.4,"++",6.93288278733861,0.0969429743882141,0,0,"6.933***",0.431,"+++"
"White","Robust",0.786,-0.14021425813156,0.0111097878582089,1.6219372223358e-36,1.6219372223358e-36,"-0.14***",-32.1,"---",9.6475623174599,0.135645851629182,0,0,"9.648***",1.131,"+++"
"Women","Robust",0.36,-0.854198481486944,0.0200382853253414,0,0,"-0.854***",-6.14,"--",13.2560916206448,0.144561300701149,0,0,"13.256***",0.17,"++"
"Asian","Trimmed5",0.044,-2.2344380841461,0.214749504590374,2.35607292863879e-25,5.89018232159699e-25,"-2.234***",5.27,"++",16.2867594893711,2.38158300482336,1.37407839485983e-10,6.87039197429917e-10,"16.287***",1.725,"+++"
"Black","Trimmed5",0.111,-4.80846398699605,0.338623703609029,9.15838635569224e-46,4.57919317784612e-45,"-4.808***",-10.29,"---",14.7414851354292,5.5867846079534,0.0139076009758667,0.0139076009758667,"14.741*",-0.857,"---"
"Hispanic","Trimmed5",0.182,-0.76986320309674,0.201200002668981,0.000130053210155801,0.000216755350259668,"-0.77***",13.45,"+++",7.60127618568688,1.84369554169742,0.000342991240230308,0.000571652067050513,"7.601***",0.641,"+++"
"White","Trimmed5",0.786,-0.130487344149589,0.167441580560046,0.435802591141052,0.435802591141052,"-0.13",-31.86,"---",7.43163648950277,2.19126339531277,0.00333411130203149,0.00416763912753936,"7.432**",0.74,"+++"
"Women","Trimmed5",0.36,-0.286154035105981,0.209625957104415,0.172231155175447,0.215288943969309,"-0.286",6.89,"++",7.61973446907466,1.0851182804169,1.05755230194913e-09,2.64388075487284e-09,"7.62***",0.104,"++"
