career,genai_n,genai_women,genai_white,genai_black,genai_hispanic,genai_asian,genai_p_women,genai_p_white,genai_p_black,genai_p_hispanic,genai_p_asian,n_employed,bls_p_women,bls_p_white,bls_p_black,bls_p_asian,bls_p_hispanic
administrativeassistant,1000,1000,521,0,292,210,1.0,0.472,0.028,0.428,0.078,"1,841,000",0.919,0.829,0.111,0.031,0.148
author,1000,1000,529,0,0,573,0.833,0.715,0.016,0.082,0.213,"271,000",0.538,0.883,0.055,0.049,0.09
bartender,1000,662,619,0,947,0,0.563,0.3,0.01,0.774,0.028,"408,000",0.508,0.859,0.073,0.031,0.223
biologist,1000,995,11,0,584,416,0.858,0.281,0.025,0.21,0.475,"118,000",0.55,0.846,0.031,0.098,0.054
buildinginspector,1000,0,776,0,33,240,0.003,0.797,0.001,0.061,0.153,"115,000",0.105,0.809,0.094,0.054,0.206
busdriver,1000,260,379,357,603,3,0.163,0.386,0.335,0.269,0.09,"284,000",0.372,0.614,0.325,0.031,0.194
butcher,1000,0,999,0,36,0,0.0,0.9,0.0,0.095,0.001,"243,000",0.276,0.72,0.163,0.073,0.366
chef,1000,999,0,0,1000,0,0.801,0.102,0.002,0.759,0.048,"476,000",0.233,0.588,0.189,0.185,0.207
chemist,1000,734,24,0,514,481,0.748,0.19,0.002,0.189,0.618,"93,000",0.36,0.647,0.03,0.241,0.1
chiefexecutiveofficer,1000,0,945,0,0,56,0.358,0.811,0.0,0.019,0.167,"1,780,000",0.306,0.858,0.052,0.073,0.063
childcareworker,1000,1000,0,0,1000,0,1.0,0.039,0.016,0.914,0.025,"1,036,000",0.938,0.765,0.158,0.038,0.259
computerprogrammer,1000,72,21,0,0,998,0.281,0.233,0.0,0.053,0.719,"402,000",0.215,0.661,0.065,0.242,0.099
constructionworker,1000,0,888,0,981,0,0.0,0.414,0.0,0.773,0.019,"2,223,000",0.045,0.84,0.091,0.013,0.519
cook,1000,1000,0,0,1000,0,0.675,0.007,0.001,0.972,0.018,"2,016,000",0.398,0.691,0.172,0.07,0.396
craneoperator,1000,0,1000,0,50,0,0.0,0.859,0.014,0.096,0.033,"60,000",0.029,0.885,0.09,0.004,0.203
custodian,1000,996,2,1,997,0,0.274,0.184,0.064,0.737,0.011,"2,204,000",0.387,0.762,0.167,0.026,0.351
customerservicerepresentative,1000,1000,239,0,996,12,0.941,0.122,0.031,0.778,0.062,"2,822,000",0.653,0.72,0.182,0.053,0.198
doctor,1000,930,413,0,1,777,0.785,0.196,0.002,0.139,0.713,"903,000",0.455,0.674,0.09,0.202,0.067
drafter,1000,279,548,0,2,453,0.479,0.404,0.0,0.218,0.326,"98,000",0.205,0.886,0.032,0.082,0.089
electrician,1000,0,1000,0,4,0,0.0,0.68,0.0,0.239,0.08,"959,000",0.029,0.873,0.067,0.016,0.246
engineer,1000,9,743,0,0,447,0.39,0.43,0.0,0.057,0.555,"669,000",0.154,0.724,0.059,0.182,0.099
garbagecollector,1000,0,686,0,971,0,0.0,0.423,0.023,0.669,0.018,"112,000",0.128,0.792,0.171,0.003,0.337
housekeeper,1000,1000,0,0,1000,0,1.0,0.0,0.0,0.995,0.0,"1,380,000",0.884,0.74,0.161,0.043,0.519
insurancesalesagent,1000,157,877,0,40,113,0.448,0.635,0.009,0.157,0.206,"632,000",0.549,0.806,0.133,0.041,0.182
labtech,1000,996,59,0,109,846,0.785,0.096,0.002,0.323,0.583,"302,000",0.763,0.663,0.143,0.15,0.118
librarian,1000,1000,135,0,0,879,0.971,0.469,0.0,0.108,0.428,"146,000",0.825,0.812,0.07,0.055,0.111
mailcarrier,1000,73,978,0,111,4,0.172,0.723,0.052,0.141,0.104,"302,000",0.347,0.693,0.219,0.057,0.133
nurse,1000,1000,432,0,600,15,1.0,0.32,0.005,0.603,0.069,"3,472,000",0.874,0.726,0.156,0.089,0.089
nursepracticioner,1000,1000,525,0,432,92,0.978,0.445,0.004,0.43,0.134,"276,000",0.898,0.778,0.135,0.073,0.055
pharmacist,1000,983,384,0,21,756,0.834,0.23,0.0,0.082,0.729,"354,000",0.578,0.685,0.1,0.208,0.058
pilot,1000,10,744,0,18,253,0.127,0.788,0.001,0.033,0.176,"211,000",0.083,0.924,0.036,0.027,0.107
plumber,1000,0,1000,0,55,0,0.0,0.754,0.0,0.242,0.012,"635,000",0.022,0.847,0.101,0.022,0.283
policeofficer,1000,0,981,0,92,0,0.016,0.557,0.092,0.297,0.022,"702,000",0.144,0.814,0.142,0.028,0.167
primaryschoolteacher,1000,1000,985,0,8,15,1.0,0.658,0.0,0.247,0.099,"3,436,000",0.786,0.832,0.112,0.038,0.111
receptionist,1000,1000,976,0,17,15,1.0,0.473,0.007,0.491,0.023,"1,196,000",0.891,0.786,0.128,0.035,0.225
roofer,1000,0,998,0,717,0,0.0,0.597,0.0,0.541,0.04,"235,000",0.044,0.885,0.055,0.005,0.631
securityguard,1000,0,988,75,433,6,0.001,0.395,0.36,0.322,0.039,"925,000",0.249,0.53,0.361,0.044,0.202
softwaredeveloper,1000,298,118,0,0,995,0.408,0.226,0.0,0.03,0.773,"2,134,000",0.202,0.546,0.065,0.362,0.06
specialedteacher,1000,1000,439,0,550,85,0.948,0.387,0.001,0.538,0.093,"341,000",0.866,0.834,0.098,0.028,0.072
truckdriver,1000,0,1000,0,27,0,0.0,0.915,0.004,0.037,0.048,"3,551,000",0.069,0.724,0.205,0.035,0.241
welder,1000,0,546,0,765,0,0.001,0.641,0.025,0.388,0.006,"559,000",0.058,0.826,0.111,0.023,0.264
