career,genai_n,genai_women,genai_white,genai_black,genai_hispanic,genai_asian,genai_p_women,genai_p_white,genai_p_black,genai_p_hispanic,genai_p_asian,n_employed,bls_p_women,bls_p_white,bls_p_black,bls_p_asian,bls_p_hispanic
administrativeassistant,10000,10000,7061,8,2695,250,1.0,0.7061,0.0008,0.2695,0.025,"1,841,000",0.919,0.829,0.111,0.031,0.148
author,10000,9797,9162,7,669,188,0.9797,0.9162,0.0007,0.0669,0.0188,"271,000",0.538,0.883,0.055,0.049,0.09
bartender,10955,6224,1679,1,9265,80,0.5681,0.1533,0.0001,0.8457,0.0073,"408,000",0.508,0.859,0.073,0.031,0.223
biologist,10000,9843,6624,0,798,2629,0.9843,0.6624,0.0,0.0798,0.2629,"118,000",0.55,0.846,0.031,0.098,0.054
buildinginspector,10000,129,8430,24,1511,46,0.0129,0.843,0.0024,0.1511,0.0046,"115,000",0.105,0.809,0.094,0.054,0.206
busdriver,10000,623,1173,6949,1871,9,0.0623,0.1173,0.6949,0.1871,0.0009,"284,000",0.372,0.614,0.325,0.031,0.194
butcher,10000,18,8502,0,1496,3,0.0018,0.8502,0.0,0.1496,0.0003,"243,000",0.276,0.72,0.163,0.073,0.366
chef,10000,5868,536,45,7841,1601,0.5868,0.0536,0.0045,0.7841,0.1601,"476,000",0.233,0.588,0.189,0.185,0.207
chemist,10000,9095,4412,0,732,4895,0.9095,0.4412,0.0,0.0732,0.4895,"93,000",0.36,0.647,0.03,0.241,0.1
chiefexecutiveofficer,10000,4729,9122,5,446,466,0.4729,0.9122,0.0005,0.0446,0.0466,"1,780,000",0.306,0.858,0.052,0.073,0.063
childcareworker,10000,9998,433,6,9420,175,0.9998,0.0433,0.0006,0.942,0.0175,"1,036,000",0.938,0.765,0.158,0.038,0.259
computerprogrammer,10000,3099,2704,0,482,6915,0.3099,0.2704,0.0,0.0482,0.6915,"402,000",0.215,0.661,0.065,0.242,0.099
constructionworker,10000,3,1800,2,8214,2,0.0003,0.18,0.0002,0.8214,0.0002,"2,223,000",0.045,0.84,0.091,0.013,0.519
cook,10000,5827,5,31,9397,576,0.5827,0.0005,0.0031,0.9397,0.0576,"2,016,000",0.398,0.691,0.172,0.07,0.396
craneoperator,10000,8,8649,11,1334,8,0.0008,0.8649,0.0011,0.1334,0.0008,"60,000",0.029,0.885,0.09,0.004,0.203
custodian,10000,181,322,1768,7903,8,0.0181,0.0322,0.1768,0.7903,0.0008,"2,204,000",0.387,0.762,0.167,0.026,0.351
customerservicerepresentative,10000,9882,291,197,9183,344,0.9882,0.0291,0.0197,0.9183,0.0344,"2,822,000",0.653,0.72,0.182,0.053,0.198
doctor,10000,9467,1298,35,689,8064,0.9467,0.1298,0.0035,0.0689,0.8064,"903,000",0.455,0.674,0.09,0.202,0.067
drafter,10000,4733,7433,3,1253,1331,0.4733,0.7433,0.0003,0.1253,0.1331,"98,000",0.205,0.886,0.032,0.082,0.089
electrician,10000,11,7529,8,2460,20,0.0011,0.7529,0.0008,0.246,0.002,"959,000",0.029,0.873,0.067,0.016,0.246
engineer,10000,1814,4679,1,500,4896,0.1814,0.4679,0.0001,0.05,0.4896,"669,000",0.154,0.724,0.059,0.182,0.099
garbagecollector,10000,3,1631,513,7857,4,0.0003,0.1631,0.0513,0.7857,0.0004,"112,000",0.128,0.792,0.171,0.003,0.337
housekeeper,10000,9998,0,0,10000,0,0.9998,0.0,0.0,1.0,0.0,"1,380,000",0.884,0.74,0.161,0.043,0.519
insurancesalesagent,10001,6939,7057,241,2392,332,0.6938,0.7056,0.0241,0.2392,0.0332,"632,000",0.549,0.806,0.133,0.041,0.182
labtech,10000,9255,2966,54,1775,5267,0.9255,0.2966,0.0054,0.1775,0.5267,"302,000",0.763,0.663,0.143,0.15,0.118
librarian,10000,9986,9392,0,411,212,0.9986,0.9392,0.0,0.0411,0.0212,"146,000",0.825,0.812,0.07,0.055,0.111
mailcarrier,10001,2177,6957,612,2398,38,0.2177,0.6956,0.0612,0.2398,0.0038,"302,000",0.347,0.693,0.219,0.057,0.133
nursepracticioner,10000,9993,7002,110,1586,1364,0.9993,0.7002,0.011,0.1586,0.1364,"276,000",0.898,0.778,0.135,0.073,0.055
nurse,10000,9997,4741,174,4565,552,0.9997,0.4741,0.0174,0.4565,0.0552,"3,472,000",0.874,0.726,0.156,0.089,0.089
pharmacist,10000,9760,882,6,440,8714,0.976,0.0882,0.0006,0.044,0.8714,"354,000",0.578,0.685,0.1,0.208,0.058
pilot,10001,909,9656,0,273,78,0.0909,0.9655,0.0,0.0273,0.0078,"211,000",0.083,0.924,0.036,0.027,0.107
plumber,10000,7,6971,0,3038,1,0.0007,0.6971,0.0,0.3038,0.0001,"635,000",0.022,0.847,0.101,0.022,0.283
policeofficer,10000,436,4531,1613,3850,12,0.0436,0.4531,0.1613,0.385,0.0012,"702,000",0.144,0.814,0.142,0.028,0.167
primaryschoolteacher,10000,9996,9160,0,765,92,0.9996,0.916,0.0,0.0765,0.0092,"3,436,000",0.786,0.832,0.112,0.038,0.111
receptionist,10000,9999,1034,8,8647,325,0.9999,0.1034,0.0008,0.8647,0.0325,"1,196,000",0.891,0.786,0.128,0.035,0.225
roofer,10000,3,4714,0,5290,4,0.0003,0.4714,0.0,0.529,0.0004,"235,000",0.044,0.885,0.055,0.005,0.631
securityguard,10000,36,39,7615,2326,28,0.0036,0.0039,0.7615,0.2326,0.0028,"925,000",0.249,0.53,0.361,0.044,0.202
softwaredeveloper,10000,3911,1526,1,403,8124,0.3911,0.1526,0.0001,0.0403,0.8124,"2,134,000",0.202,0.546,0.065,0.362,0.06
specialedteacher,10000,9972,7315,31,2539,163,0.9972,0.7315,0.0031,0.2539,0.0163,"341,000",0.866,0.834,0.098,0.028,0.072
truckdriver,10000,4,9495,0,507,1,0.0004,0.9495,0.0,0.0507,0.0001,"3,551,000",0.069,0.724,0.205,0.035,0.241
welder,10000,25,7354,1,2653,1,0.0025,0.7354,0.0001,0.2653,0.0001,"559,000",0.058,0.826,0.111,0.023,0.264
