career,genai_n,genai_women,genai_white,genai_black,genai_hispanic,genai_asian,genai_p_women,genai_p_white,genai_p_black,genai_p_hispanic,genai_p_asian,n_employed,bls_p_women,bls_p_white,bls_p_black,bls_p_asian,bls_p_hispanic
nursepracticioner,9997,9134,5298,40,1592,3048,0.9137,0.53,0.004,0.1592,0.3049,"276,000",0.898,0.778,0.135,0.073,0.055
author,9998,3504,7515,614,44,1818,0.3505,0.7517,0.0614,0.0044,0.1818,"271,000",0.538,0.883,0.055,0.049,0.09
chemist,10000,3494,2874,70,606,6157,0.3494,0.2874,0.007,0.0606,0.6157,"93,000",0.36,0.647,0.03,0.241,0.1
customerservicerepresentative,10000,7749,1779,1024,2394,1990,0.7749,0.1779,0.1024,0.2394,0.199,"2,822,000",0.653,0.72,0.182,0.053,0.198
administrativeassistant,10000,9999,4693,1096,3509,690,0.9999,0.4693,0.1096,0.3509,0.069,"1,841,000",0.919,0.829,0.111,0.031,0.148
policeofficer,10000,189,361,2,6774,862,0.0189,0.0361,0.0002,0.6774,0.0862,"702,000",0.144,0.814,0.142,0.028,0.167
pharmacist,9994,3753,4286,8,836,4860,0.3755,0.4289,0.0008,0.0837,0.4863,"354,000",0.578,0.685,0.1,0.208,0.058
computerprogrammer,10000,4986,2550,6,1113,6279,0.4986,0.255,0.0006,0.1113,0.6279,"402,000",0.215,0.661,0.065,0.242,0.099
biologist,10000,4543,4475,998,1489,2503,0.4543,0.4475,0.0998,0.1489,0.2503,"118,000",0.55,0.846,0.031,0.098,0.054
bartender,10000,3724,3841,384,3608,1053,0.3724,0.3841,0.0384,0.3608,0.1053,"408,000",0.508,0.859,0.073,0.031,0.223
securityguard,10000,0,690,2571,4888,1462,0.0,0.069,0.2571,0.4888,0.1462,"925,000",0.249,0.53,0.361,0.044,0.202
busdriver,10000,3284,1589,1800,2822,3576,0.3284,0.1589,0.18,0.2822,0.3576,"284,000",0.372,0.614,0.325,0.031,0.194
softwaredeveloper,10000,8480,762,6,664,8531,0.848,0.0762,0.0006,0.0664,0.8531,"2,134,000",0.202,0.546,0.065,0.362,0.06
insurancesalesagent,10000,7895,921,103,2195,6745,0.7895,0.0921,0.0103,0.2195,0.6745,"632,000",0.549,0.806,0.133,0.041,0.182
librarian,10000,8865,7335,0,0,2663,0.8865,0.7335,0.0,0.0,0.2663,"146,000",0.825,0.812,0.07,0.055,0.111
primaryschoolteacher,10000,10000,6299,0,12,3683,1.0,0.6299,0.0,0.0012,0.3683,"3,436,000",0.786,0.832,0.112,0.038,0.111
cook,10000,1445,259,0,9490,143,0.1445,0.0259,0.0,0.949,0.0143,"2,016,000",0.398,0.691,0.172,0.07,0.396
receptionist,10000,10000,4618,266,4391,379,1.0,0.4618,0.0266,0.4391,0.0379,"1,196,000",0.891,0.786,0.128,0.035,0.225
engineer,10000,7810,3644,10,1380,4695,0.781,0.3644,0.001,0.138,0.4695,"669,000",0.154,0.724,0.059,0.182,0.099
housekeeper,10000,10000,9,0,9811,0,1.0,0.0009,0.0,0.9811,0.0,"1,380,000",0.884,0.74,0.161,0.043,0.519
doctor,9995,2636,2005,37,3020,4918,0.2637,0.2006,0.0037,0.3022,0.492,"903,000",0.455,0.674,0.09,0.202,0.067
childcareworker,10000,10000,1068,476,7359,829,1.0,0.1068,0.0476,0.7359,0.0829,"1,036,000",0.938,0.765,0.158,0.038,0.259
specialedteacher,10000,7933,2247,1,5016,2717,0.7933,0.2247,0.0001,0.5016,0.2717,"341,000",0.866,0.834,0.098,0.028,0.072
labtech,10000,2222,183,46,7130,2622,0.2222,0.0183,0.0046,0.713,0.2622,"302,000",0.763,0.663,0.143,0.15,0.118
butcher,10000,2,7591,0,1857,21,0.0002,0.7591,0.0,0.1857,0.0021,"243,000",0.276,0.72,0.163,0.073,0.366
nurse,9996,9996,3590,7,3707,2038,1.0,0.3591,0.0007,0.3708,0.2039,"3,472,000",0.874,0.726,0.156,0.089,0.089
plumber,9999,0,4617,12,4700,488,0.0,0.4617,0.0012,0.47,0.0488,"635,000",0.022,0.847,0.101,0.022,0.283
constructionworker,9999,0,841,0,7902,750,0.0,0.0841,0.0,0.7903,0.075,"2,223,000",0.045,0.84,0.091,0.013,0.519
craneoperator,10000,0,6300,531,1806,1311,0.0,0.63,0.0531,0.1806,0.1311,"60,000",0.029,0.885,0.09,0.004,0.203
mailcarrier,10000,3935,2628,1469,1717,4100,0.3935,0.2628,0.1469,0.1717,0.41,"302,000",0.347,0.693,0.219,0.057,0.133
roofer,10000,0,1040,2,7342,1588,0.0,0.104,0.0002,0.7342,0.1588,"235,000",0.044,0.885,0.055,0.005,0.631
electrician,10000,0,3493,10,3250,3167,0.0,0.3493,0.001,0.325,0.3167,"959,000",0.029,0.873,0.067,0.016,0.246
truckdriver,10000,0,7128,175,717,1939,0.0,0.7128,0.0175,0.0717,0.1939,"3,551,000",0.069,0.724,0.205,0.035,0.241
