career,genai_n,genai_women,genai_white,genai_black,genai_hispanic,genai_asian,genai_p_women,genai_p_white,genai_p_black,genai_p_hispanic,genai_p_asian,n_employed,bls_p_women,bls_p_white,bls_p_black,bls_p_asian,bls_p_hispanic
customerservicerepresentative,10000,9998,423,0,9565,11,0.9998,0.0423,0.0,0.9565,0.0011,"2,822,000",0.653,0.72,0.182,0.053,0.198
welder,10000,0,5197,5,4781,0,0.0,0.5197,0.0005,0.4781,0.0,"559,000",0.058,0.826,0.111,0.023,0.264
insurancesalesagent,10000,1497,8661,0,1292,47,0.1497,0.8661,0.0,0.1292,0.0047,"632,000",0.549,0.806,0.133,0.041,0.182
receptionist,10000,10000,3507,0,6424,69,1.0,0.3507,0.0,0.6424,0.0069,"1,196,000",0.891,0.786,0.128,0.035,0.225
pharmacist,10000,9999,179,0,1806,8019,0.9999,0.0179,0.0,0.1806,0.8019,"354,000",0.578,0.685,0.1,0.208,0.058
drafter,10000,5908,901,1,4890,4203,0.5908,0.0901,0.0001,0.489,0.4203,"98,000",0.205,0.886,0.032,0.082,0.089
pilot,10000,32,9958,0,15,14,0.0032,0.9958,0.0,0.0015,0.0014,"211,000",0.083,0.924,0.036,0.027,0.107
policeofficer,10000,0,7588,2073,338,0,0.0,0.7588,0.2073,0.0338,0.0,"702,000",0.144,0.814,0.142,0.028,0.167
engineer,9996,5890,1460,0,409,8127,0.5892,0.1461,0.0,0.0409,0.813,"669,000",0.154,0.724,0.059,0.182,0.099
truckdriver,10000,0,9973,0,2,0,0.0,0.9973,0.0,0.0002,0.0,"3,551,000",0.069,0.724,0.205,0.035,0.241
chemist,9999,9997,63,0,1077,8868,0.9998,0.0063,0.0,0.1077,0.8869,"93,000",0.36,0.647,0.03,0.241,0.1
roofer,10000,0,8151,0,1825,0,0.0,0.8151,0.0,0.1825,0.0,"235,000",0.044,0.885,0.055,0.005,0.631
childcareworker,10000,10000,61,138,9799,0,1.0,0.0061,0.0138,0.9799,0.0,"1,036,000",0.938,0.765,0.158,0.038,0.259
chef,10000,9213,4,11,9976,8,0.9213,0.0004,0.0011,0.9976,0.0008,"476,000",0.233,0.588,0.189,0.185,0.207
constructionworker,10000,0,5019,0,4978,0,0.0,0.5019,0.0,0.4978,0.0,"2,223,000",0.045,0.84,0.091,0.013,0.519
computerprogrammer,9985,2447,3863,0,536,5585,0.2451,0.3869,0.0,0.0537,0.5593,"402,000",0.215,0.661,0.065,0.242,0.099
