"model","group","method","center_at","alpha","se_alpha","p_alpha","p_alpha_fdr","alpha_fmt","alpha_effect_pp_pct","alpha_code","beta","se_beta","p_beta","p_beta_fdr","beta_fmt","beta_dev_round","beta_dev_fmt","beta_code"
"ChatGPT","Asian","Raw",0.044,-3.43810025165173,0.305895905816459,2.61017725990519e-29,2.61017725990519e-28,"-3.438***",-1.29,"-",22.5147943776944,2.41320013200785,4.8578603380045e-19,9.71572067600901e-18,"22.515***",1.76,"+1.76","+++"
"ChatGPT","Black","Raw",0.111,-4.96293461998209,0.456484158491156,1.56580833805411e-27,1.0438722253694e-26,"-4.963***",-10.41,"---",25.457062707859,2.9142791823856,4.77338774594698e-17,4.77338774594698e-16,"25.457***",-0.655,"-0.66","--"
"ChatGPT","Hispanic","Raw",0.182,-0.857046120563263,0.218280560374838,8.62442363306868e-05,0.000156807702419431,"-0.857***",11.6,"+++",7.71764426315777,1.84505772742619,0.000271701764416591,0.000388145377737987,"7.718***",0.622,"+0.62","++"
"ChatGPT","White","Raw",0.786,0.0390905085160184,0.202098222052883,0.846627455719892,0.846627455719892,"0.039",-27.62,"---",9.93653109877352,2.4359960724935,0.000243946555668663,0.000375302393336405,"9.937***",1.218,"+1.22","++"
"ChatGPT","Women","Raw",0.36,-0.136870223172837,0.225885280845614,0.544562545549296,0.640661818293289,"-0.137",10.58,"+++",10.0589421056718,1.38425291744195,5.97817090115879e-11,2.9890854505794e-10,"10.059***",0.133,"+0.13","+"
"DeepSeek","Asian","Raw",0.0435,-2.21453776976211,0.370937957513673,2.37104022430217e-09,6.77440064086334e-09,"-2.215***",5.5,"++",17.7445901491005,3.78479241042454,9.68107898471418e-06,3.22702632823806e-05,"17.745***",2.125,"+2.12","+++"
"DeepSeek","Black","Raw",0.106,-7.71355762716799,0.853073468016674,1.53720036083547e-19,7.68600180417734e-19,"-7.714***",-10.56,"---",26.2403868472341,3.74057641868344,1.5017962774963e-11,1.00119751833087e-10,"26.24***",-0.971,"-0.97","--"
"DeepSeek","Hispanic","Raw",0.188,-0.721981637894018,0.294047595872958,0.0140758300580219,0.0234597167633698,"-0.722*",13.9,"+++",8.62029209510663,2.69123657452522,0.00463272334256657,0.00579090417820821,"8.62**",0.823,"+0.82","++"
"DeepSeek","White","Raw",0.789,0.372113883774562,0.263457537593811,0.157825003459192,0.210433337945589,"0.372",-19.7,"---",6.84896925819275,2.75655717757186,0.033851298973788,0.0398250576162212,"6.849*",0.607,"+0.61","++"
"DeepSeek","Women","Raw",0.3535,-0.168715097983041,0.342150544134252,0.621940558314722,0.690820239394302,"-0.169",10.44,"+++",11.5049587739723,2.34556101731131,7.51147895995939e-06,3.00459158398376e-05,"11.505***",0.162,"+0.16","+"
"Gemini","Asian","Raw",0.044,-1.39704336299627,0.170958124964576,3.03707627966004e-16,1.21483051186402e-15,"-1.397***",15.43,"+++",8.15506931801823,1.77787852681791,5.70968780032212e-05,0.000114193756006442,"8.155***",0.657,"+0.66","++"
"Gemini","Black","Raw",0.111,-3.80784746320352,0.289657248992158,1.79309126002871e-39,3.58618252005742e-38,"-3.808***",-8.93,"--",10.4458067906873,2.25643014465297,2.83697239031111e-05,7.09243097577778e-05,"10.446***",-0.738,"-0.74","--"
"Gemini","Hispanic","Raw",0.182,-0.903653197771162,0.178292746735528,4.01241734267588e-07,8.91648298372419e-07,"-0.904***",10.63,"+++",6.70310241746889,1.40832769860427,5.13148144097113e-05,0.000114032920910469,"6.703***",0.409,"+0.41","+"
"Gemini","White","Raw",0.786,-0.630028104249974,0.158760129987997,7.2348387188759e-05,0.000144696774377518,"-0.63***",-43.85,"---",4.11278926011085,1.74846140431058,0.0750265570103044,0.0833628411225604,"4.113",-0.105,"-0.10","-"
"Gemini","Women","Raw",0.36,-0.516954254735752,0.246881418362102,0.0362655500620607,0.0557931539416318,"-0.517",1.36,"+",4.67977615167865,0.91987287690747,6.32597104659475e-05,0.000115017655392632,"4.68***",-0.106,"-0.11","-"
"Mistral","Asian","Raw",0.044,-2.6262841765165,0.485576782465547,6.35239981576396e-08,1.58809995394099e-07,"-2.626***",2.35,"+",17.6056390770529,4.34830457377496,0.000134060738822957,0.000223434564704929,"17.606***",1.668,"+1.67","+++"
"Mistral","Black","Raw",0.111,-5.39719645772869,0.877088398561243,7.57733914281397e-10,2.52577971427132e-09,"-5.397***",-10.65,"---",17.870342537264,4.79331314945174,0.000432266886527236,0.000576355848702982,"17.87***",-0.88,"-0.88","--"
"Mistral","Hispanic","Raw",0.182,-0.498721665245612,0.256131737320949,0.0515192094143275,0.0735988705918964,"-0.499",19.58,"+++",1.78287651032588,1.83867467296239,0.670265939010928,0.670265939010928,"1.783",-0.577,"-0.58","--"
"Mistral","White","Raw",0.786,-0.240158643510217,0.254223247027079,0.344824226217365,0.431030282771706,"-0.24",-34.58,"---",3.7892499647615,2.70729081333271,0.302881638179933,0.318822777031508,"3.789",-0.091,"-0.09","0"
"Mistral","Women","Raw",0.36,-0.14945872819147,0.335819989757021,0.656279227424587,0.690820239394302,"-0.149",10.27,"+++",9.58426161775751,1.98488316407063,1.52656733977969e-05,4.36162097079912e-05,"9.584***",0.126,"+0.13","+"
"ChatGPT","Asian","Robust",0.044,-4.14141209104895,0.0136880911518805,0,0,"-4.141***",-2.83,"-",27.9769509631803,0.101361450861218,0,0,"27.977***",2.027,"+2.03","+++"
"ChatGPT","Black","Robust",0.111,-6.44769844462126,0.0312009242866601,0,0,"-6.448***",-10.94,"---",33.0680033948929,0.169089178333073,0,0,"33.068***",-0.85,"-0.85","--"
"ChatGPT","Hispanic","Robust",0.182,-1.21483608083354,0.00437747907651869,0,0,"-1.215***",4.68,"++",10.2350264210016,0.0384319756447924,0,0,"10.235***",0.912,"+0.91","++"
"ChatGPT","White","Robust",0.786,0.1961691412527,0.00363802792390361,0,0,"0.196***",-23.71,"---",11.6500599867288,0.0449398803284394,0,0,"11.65***",1.519,"+1.52","+++"
"ChatGPT","Women","Robust",0.36,-0.131521625403734,0.00621410485774755,2.00696462257611e-99,2.22996069175124e-99,"-0.132***",10.72,"+++",14.9125944384064,0.0527169077382154,0,0,"14.913***",0.171,"+0.17","+"
"DeepSeek","Asian","Robust",0.0435,-5.04334266675827,0.0643748663836031,0,0,"-5.043***",-3.71,"--",37.4309411968989,0.468828049621474,0,0,"37.431***",2.805,"+2.81","+++"
"DeepSeek","Black","Robust",0.106,-10.9117344886729,0.800048384308527,2.35262796944416e-42,2.47645049415175e-42,"-10.912***",-10.6,"---",33.2298831020051,3.28565460698524,1.02705795764283e-22,1.02705795764283e-22,"33.23***",-0.998,"-1.00","--"
"DeepSeek","Hispanic","Robust",0.188,-1.49316154192439,0.020098960610919,0,0,"-1.493***",-0.46,"0",27.6520646266483,0.32614222788062,0,0,"27.652***",2.159,"+2.16","+++"
"DeepSeek","White","Robust",0.789,0.454997406460435,0.0118190950857598,0,0,"0.455***",-17.72,"---",10.1254463656373,0.132223090911314,0,0,"10.125***",1.241,"+1.24","++"
