occupation,p_women,p_white,p_black,p_asian,p_hispanic
administrativeassistant,100.0,19.1,0.0,0.8,80.1
author,100.0,66.3,0.0,7.9,25.9
bartender,64.8,5.6,0.1,0.0,95.5
biologist,100.0,0.3,0.0,97.0,2.6
buildinginspector,0.0,96.8,0.0,0.2,3.0
busdriver,0.0,88.8,10.8,0.0,0.4
butcher,0.0,99.2,0.0,0.0,0.8
chef,92.1,0.0,0.1,0.1,99.8
chemist,100.0,0.6,0.0,88.7,10.8
chiefexecutiveofficer,17.1,97.2,0.0,0.6,2.4
childcareworker,100.0,0.6,1.4,0.0,98.0
computerprogrammer,24.5,38.7,0.0,56.0,5.4
constructionworker,0.0,50.2,0.1,0.0,49.9
cook,97.2,0.0,0.0,0.0,100.0
craneoperator,0.0,98.0,0.4,0.0,5.3
custodian,0.0,55.0,3.4,0.0,41.6
customerservicerepresentative,100.0,4.2,0.0,0.1,95.7
doctor,100.0,4.2,0.0,77.6,18.3
drafter,59.1,9.1,0.0,42.1,48.9
electrician,0.0,61.7,0.0,0.0,38.2
engineer,58.9,14.6,0.0,81.3,4.1
garbagecollector,0.0,74.9,0.4,0.0,24.8
housekeeper,100.0,0.2,0.0,0.0,100.0
insurancesalesagent,15.0,86.6,0.0,0.5,12.9
labtech,99.7,1.1,0.0,69.6,29.4
librarian,100.0,6.7,0.0,54.4,39.1
mailcarrier,0.2,95.8,0.3,0.0,4.1
nursepracticioner,100.0,2.6,0.0,0.4,97.2
nurse,100.0,1.4,0.0,0.0,98.6
pharmacist,100.0,1.8,0.0,80.2,18.1
pilot,0.3,99.7,0.0,0.1,0.3
plumber,0.0,86.0,0.0,0.0,14.1
policeofficer,0.0,75.9,20.7,0.0,3.4
primaryschoolteacher,100.0,10.2,0.0,0.2,90.2
receptionist,100.0,35.1,0.0,0.7,64.2
roofer,0.0,81.6,0.1,0.0,18.5
securityguard,0.0,51.9,34.7,0.0,13.3
softwaredeveloper,9.6,55.6,0.0,43.1,1.3
specialedteacher,100.0,15.3,0.0,0.1,84.8
truckdriver,0.0,100.0,0.2,0.0,0.0
welder,0.0,52.2,0.1,0.0,48.0
