occupation,diff_p_women,diff_p_white,diff_p_black,diff_p_asian,diff_p_hispanic
Administrativeassistant,8.1,-35.7,-8.3,4.7,28.0
Author,29.4,-16.8,-4.0,16.4,-0.7
Bartender,5.4,-52.8,-6.2,-0.3,58.1
Biologist,30.8,-55.2,-0.1,37.7,16.3
Buildinginspector,-10.2,-1.2,-9.3,9.9,-14.5
Busdriver,-21.0,-22.3,1.1,6.0,8.0
Butcher,-27.6,19.3,-16.3,-7.2,-25.8
Chef,56.8,-39.6,-18.6,-13.7,64.1
Chemist,38.8,-45.0,-2.8,37.9,9.5
Chiefexecutiveofficer,5.2,-4.3,-5.2,9.7,-4.3
Childcareworker,6.2,-71.9,-14.2,-1.3,66.2
Computerprogrammer,6.6,-42.6,-6.5,47.8,-4.5
Constructionworker,-4.5,-41.4,-9.1,0.6,26.6
Cook,27.7,-68.2,-17.1,-5.2,57.9
Craneoperator,-2.9,-1.5,-7.5,2.9,-9.8
Custodian,-11.3,-57.4,-10.0,-1.6,38.7
Customerservicerepresentative,28.8,-53.0,-14.6,0.8,64.7
Doctor,33.0,-47.7,-8.8,51.1,7.2
Drafter,27.4,-42.8,-3.2,24.4,18.2
Electrician,-2.9,-19.1,-6.6,6.4,-0.5
Engineer,23.6,-28.7,-5.9,37.6,-3.8
Garbagecollector,-12.8,-33.8,-14.8,1.5,36.3
Housekeeper,11.6,-73.5,-16.1,-4.3,48.1
Insurancesalesagent,-10.1,-17.0,-12.5,16.6,-2.4
Labtech,2.2,-56.6,-14.0,43.3,20.6
Librarian,14.6,-34.3,-7.0,37.2,-0.3
Mailcarrier,-17.5,3.3,-16.6,4.7,1.0
Nurse,12.6,-39.0,-15.1,-2.1,53.1
Nursepracticioner,8.0,-33.2,-13.1,6.1,37.6
Pharmacist,25.6,-45.5,-10.0,52.1,2.4
Pilot,4.4,-13.0,-3.5,14.9,-6.8
Plumber,-2.2,-8.8,-10.1,-1.0,-3.6
Policeofficer,-12.8,-20.7,-5.0,-0.6,18.0
Primaryschoolteacher,21.4,-17.4,-11.2,6.1,13.6
Receptionist,10.9,-30.4,-12.1,-1.2,27.4
Roofer,-4.4,-28.7,-5.5,3.5,-8.9
Securityguard,-24.8,-12.5,0.0,-0.5,12.8
Softwaredeveloper,20.6,-31.9,-6.5,41.1,-2.9
Specialedteacher,8.2,-44.6,-9.7,6.6,46.7
Truckdriver,-6.9,19.3,-20.0,1.4,-20.3
Welder,-5.8,-16.6,-8.6,-1.7,14.2
