occupation,p_women,p_white,p_black,p_asian,p_hispanic
administrativeassistant_deepseek,100.0,52.1,0.0,21.0,29.2
author_deepseek,100.0,52.9,0.0,57.3,0.0
bartender_deepseek,66.2,61.9,0.0,0.0,94.7
biologist_deepseek,99.5,1.1,0.0,41.6,58.4
buildinginspector_deepseek,0.0,77.6,0.0,24.0,3.3
busdriver_deepseek,26.0,37.9,35.7,0.3,60.3
butcher_deepseek,0.0,99.9,0.0,0.0,3.6
chef_deepseek,99.9,0.0,0.0,0.0,100.0
chemist_deepseek,73.4,2.4,0.0,48.1,51.4
chiefexecutiveofficer_deepseek,0.0,94.5,0.0,5.6,0.0
childcareworker_deepseek,100.0,0.0,0.0,0.0,100.0
computerprogrammer_deepseek,7.2,2.1,0.0,99.8,0.0
constructionworker_deepseek,0.0,88.8,0.0,0.0,98.1
cook_deepseek,100.0,0.0,0.0,0.0,100.0
craneoperator_deepseek,0.0,100.0,0.0,0.0,5.0
custodian_deepseek,99.6,0.2,0.1,0.0,99.7
customerservicerepresentative_deepseek,100.0,23.9,0.0,1.2,99.6
doctor_deepseek,93.0,41.3,0.0,77.7,0.1
drafter_deepseek,27.9,54.8,0.0,45.3,0.2
electrician_deepseek,0.0,100.0,0.0,0.0,0.4
engineer_deepseek,0.9,74.3,0.0,44.7,0.0
garbagecollector_deepseek,0.0,68.6,0.0,0.0,97.1
housekeeper_deepseek,100.0,0.0,0.0,0.0,100.0
insurancesalesagent_deepseek,15.7,87.7,0.0,11.3,4.0
labtech_deepseek,99.6,5.9,0.0,84.6,10.9
librarian_deepseek,100.0,13.5,0.0,87.9,0.0
mailcarrier_deepseek,7.3,97.8,0.0,0.4,11.1
nurse_deepseek,100.0,43.2,0.0,1.5,60.0
nursepractitioner_deepseek,100.0,52.5,0.0,9.2,43.2
pharmacist_deepseek,98.3,38.4,0.0,75.6,2.1
pilot_deepseek,1.0,74.4,0.0,25.3,1.8
plumber_deepseek,0.0,100.0,0.0,0.0,5.5
policeofficer_deepseek,0.0,98.1,0.0,0.0,9.2
primaryschoolteacher_deepseek,100.0,98.5,0.0,1.5,0.8
receptionist_deepseek,100.0,97.6,0.0,1.5,1.7
roofer_deepseek,0.0,99.8,0.0,0.0,71.7
securityguard_deepseek,0.0,98.8,7.5,0.6,43.3
softwaredeveloper_deepseek,29.8,11.8,0.0,99.5,0.0
specialedteacher_deepseek,100.0,43.9,0.0,8.5,55.0
truckdriver_deepseek,0.0,100.0,0.0,0.0,2.7
welder_deepseek,0.0,54.6,0.0,0.0,76.5
