occupation,p_women,p_white,p_black,p_asian,p_hispanic
administrativeassistantprofile,100.0,19.1,0.0,0.8,80.1
authorprofile,100.0,66.3,0.0,7.9,25.9
bartenderprofile,64.8,5.6,0.1,0.0,95.5
biologistprofile,100.0,0.3,0.0,97.0,2.6
buildinginspectorprofile,0.0,96.8,0.0,0.2,3.0
busdriverprofile,0.0,88.8,10.8,0.0,0.4
butcherprofile,0.0,99.2,0.0,0.0,0.8
chefprofile,92.1,0.0,0.1,0.1,99.8
chemistprofile,100.0,0.6,0.0,88.7,10.8
chiefexecutiveofficerprofile,17.1,97.2,0.0,0.6,2.4
childcareworkerprofile,100.0,0.6,1.4,0.0,98.0
computerprogrammerprofile,24.5,38.7,0.0,56.0,5.4
constructionworkerprofile,0.0,50.2,0.1,0.0,49.9
cookprofile,97.2,0.0,0.0,0.0,100.0
craneoperatorprofile,0.0,98.0,0.4,0.0,5.3
custodianprofile,0.0,55.0,3.4,0.0,41.6
customerservicerepresentativeprofile,100.0,4.2,0.0,0.1,95.7
doctorprofile,100.0,4.2,0.0,77.6,18.3
drafterprofile,59.1,9.1,0.0,42.1,48.9
electricianprofile,0.0,61.7,0.0,0.0,38.2
engineerprofile,58.9,14.6,0.0,81.3,4.1
garbagecollectorprofile,0.0,74.9,0.4,0.0,24.8
housekeeperprofile,100.0,0.2,0.0,0.0,100.0
insurancesalesagentprofile,15.0,86.6,0.0,0.5,12.9
labtechprofile,99.7,1.1,0.0,69.6,29.4
librarianprofile,100.0,6.7,0.0,54.4,39.1
mailcarrierprofile,0.2,95.8,0.3,0.0,4.1
nursepracticionerprofile,100.0,2.6,0.0,0.4,97.2
nurseprofile,100.0,1.4,0.0,0.0,98.6
pharmacistprofile,100.0,1.8,0.0,80.2,18.1
pilotprofile,0.3,99.7,0.0,0.1,0.3
plumberprofile,0.0,86.0,0.0,0.0,14.1
policeofficerprofile,0.0,75.9,20.7,0.0,3.4
primaryschoolteacherprofile,100.0,10.2,0.0,0.2,90.2
receptionistprofile,100.0,35.1,0.0,0.7,64.2
rooferprofile,0.0,81.6,0.1,0.0,18.5
securityguardprofile,0.0,51.9,34.7,0.0,13.3
softwaredeveloperprofile,9.6,55.6,0.0,43.1,1.3
specialedteacherprofile,100.0,15.3,0.0,0.1,84.8
truckdriverprofile,0.0,100.0,0.2,0.0,0.0
welderprofile,0.0,52.2,0.1,0.0,48.0
