occupation,p_women,p_white,p_black,p_asian,p_hispanic
administrativeassistant,100.0,70.6,0.1,2.5,26.9
author,98.0,91.6,0.1,1.9,6.7
biologist,98.4,66.2,0.0,26.3,8.0
buildinginspector,1.3,84.3,0.2,0.5,15.1
busdriver,6.2,11.7,69.5,0.1,18.7
butcher,0.2,85.0,0.0,0.0,15.0
chef,58.7,5.4,0.5,16.0,78.4
chemist,91.0,44.1,0.0,49.0,7.3
chiefexecutiveofficer,47.3,91.2,0.1,4.7,4.5
childcareworker,100.0,4.3,0.1,1.8,94.2
computerprogrammer,31.0,27.0,0.0,69.2,4.8
constructionworker,0.0,18.0,0.0,0.0,82.1
cook,58.8,0.1,0.4,5.7,93.9
craneoperator,0.1,86.5,0.1,0.1,13.3
custodian,1.8,3.2,17.7,0.1,79.0
customerservicerepresentative,98.8,2.9,2.0,3.4,91.8
doctor,94.7,13.0,0.3,80.6,6.9
drafter,47.3,74.3,0.0,13.3,12.5
electrician,0.1,75.3,0.1,0.2,24.6
engineer,18.1,46.8,0.0,49.0,5.0
garbagecollector,0.0,16.3,5.1,0.0,78.6
housekeeper,100.0,0.0,0.0,0.0,100.0
insurancesalesagent,69.4,70.6,2.4,3.3,23.9
librarian,99.9,93.9,0.0,2.1,4.1
mailcarrier,21.8,69.6,6.1,0.4,24.0
nursepractitioner,99.9,70.0,1.1,13.6,15.9
nurse,100.0,47.3,1.8,5.5,45.8
pharmacist,97.6,8.8,0.1,87.1,4.4
pilot,9.1,96.6,0.0,0.8,2.7
plumber,0.1,69.7,0.0,0.0,30.4
policeofficer,4.4,45.3,16.1,0.1,38.5
primaryschoolteacher,100.0,91.6,0.0,0.9,7.7
receptionist,100.0,10.3,0.1,3.2,86.5
roofer,0.0,47.1,0.0,0.0,52.9
securityguard,0.4,0.4,76.2,0.3,23.3
softwaredeveloper,39.1,15.3,0.0,81.2,4.0
specialedteacher,99.7,73.2,0.3,1.6,25.4
truckdriver,0.0,95.0,0.0,0.0,5.1
welder,0.2,73.5,0.0,0.0,26.5
