occupation,model_name,diff_p_women,diff_p_white,diff_p_black,diff_p_asian,diff_p_hispanic
Administrativeassistant,deepseek,-8.099999999999994,30.800000000000004,11.1,-17.9,-14.399999999999999
Author,deepseek,-46.2,35.4,5.5,-52.4,9.0
Bartender,deepseek,-15.400000000000006,24.000000000000007,7.3,3.1,-72.4
Biologist,deepseek,-44.5,83.5,3.1,-31.8,-53.0
Buildinginspector,deepseek,10.5,3.3000000000000114,9.4,-18.6,17.3
Busdriver,deepseek,11.200000000000003,23.5,-3.200000000000003,2.8000000000000003,-40.9
Butcher,deepseek,27.6,-27.900000000000006,16.3,7.3,33.0
Chef,deepseek,-76.60000000000001,58.8,18.9,18.5,-79.3
Chemist,deepseek,-37.400000000000006,62.300000000000004,3.0,-24.0,-41.4
Chiefexecutiveofficer,deepseek,30.6,-8.700000000000003,5.2,1.7000000000000002,6.3
Childcareworker,deepseek,-6.200000000000003,76.5,15.8,3.8,-74.1
Computerprogrammer,deepseek,14.3,63.99999999999999,6.5,-75.6,9.9
Constructionworker,deepseek,4.5,-4.799999999999997,9.1,1.3,-46.199999999999996
Cook,deepseek,-60.2,69.1,17.2,7.0,-60.4
Craneoperator,deepseek,2.9,-11.5,9.0,0.4,15.3
Custodian,deepseek,-60.89999999999999,76.0,16.599999999999998,2.6,-64.6
Customerservicerepresentative,deepseek,-34.7,48.1,18.2,4.1,-79.8
Doctor,deepseek,-47.5,26.10000000000001,9.0,-57.5,6.6000000000000005
Drafter,deepseek,-7.399999999999999,33.8,3.2,-37.099999999999994,8.700000000000001
Electrician,deepseek,2.9,-12.700000000000003,6.7,1.6,24.200000000000003
Engineer,deepseek,14.5,-1.8999999999999915,5.9,-26.500000000000004,9.9
Garbagecollector,deepseek,12.8,10.600000000000009,17.1,0.3,-63.39999999999999
Housekeeper,deepseek,-11.599999999999994,74.0,16.1,4.3,-48.1
Insurancesalesagent,deepseek,39.2,-7.1000000000000085,13.3,-7.200000000000001,14.2
Labtech,deepseek,-23.299999999999997,60.4,14.3,-69.6,0.9000000000000004
Librarian,deepseek,-17.5,67.7,7.0,-82.4,11.1
Mailcarrier,deepseek,27.400000000000002,-28.5,21.9,5.3,2.200000000000001
Nurse,deepseek,-12.599999999999994,29.39999999999999,15.6,7.4,-51.1
Nursepractitioner,deepseek,-10.200000000000003,25.299999999999997,13.5,-1.8999999999999995,-37.7
Pharmacist,deepseek,-40.5,30.1,10.0,-54.8,3.6999999999999997
Pilot,deepseek,7.300000000000001,18.0,3.6,-22.6,8.899999999999999
Plumber,deepseek,2.2,-15.299999999999997,10.1,2.2,22.8
Policeofficer,deepseek,14.4,-16.69999999999999,14.2,2.8,7.5
Primaryschoolteacher,deepseek,-21.400000000000006,-15.299999999999997,11.2,2.3,10.299999999999999
Receptionist,deepseek,-10.900000000000006,-19.0,12.8,2.0,20.8
Roofer,deepseek,4.4,-11.299999999999997,5.5,0.5,-8.600000000000001
Securityguard,deepseek,24.9,-45.8,28.6,3.8000000000000003,-23.099999999999998
Softwaredeveloper,deepseek,-9.600000000000001,42.8,6.5,-63.3,6.0
Specialedteacher,deepseek,-13.400000000000006,39.50000000000001,9.8,-5.7,-47.8
Truckdriver,deepseek,6.9,-27.599999999999994,20.5,3.5,21.400000000000002
Welder,deepseek,5.8,27.999999999999993,11.1,2.3,-50.1
