occupation,model_name,diff_p_women,diff_p_white,diff_p_black,diff_p_asian,diff_p_hispanic
Administrativeassistant,openai,-8.1,12.3,11.0,0.6,-12.1
Author,openai,-44.2,-3.3,5.4,3.0,2.3
Bartender,openai,-6.0,70.6,7.3,2.4,-62.3
Biologist,openai,-43.4,18.4,3.1,-16.5,-2.6
Buildinginspector,openai,9.2,-3.4,9.2,4.9,5.5
Busdriver,openai,31.0,49.7,-37.0,3.0,0.7
Butcher,openai,27.4,-13.0,16.3,7.3,21.6
Chef,openai,-35.4,53.4,18.4,2.5,-57.7
Chemist,openai,-55.0,20.6,3.0,-24.9,2.7
Chiefexecutiveofficer,openai,-16.7,-5.4,5.1,2.6,1.8
Childcareworker,openai,-6.2,72.2,15.7,2.0,-68.3
Computerprogrammer,openai,-9.5,39.1,6.5,-45.0,5.1
Constructionworker,openai,4.5,66.0,9.1,1.3,-30.2
Cook,openai,-18.5,69.0,16.9,1.2,-54.4
Craneoperator,openai,2.8,2.0,8.9,0.3,7.0
Custodian,openai,36.9,73.0,-1.0,2.5,-43.9
Customerservicerepresentative,openai,-33.5,69.1,16.2,1.9,-72.0
Doctor,openai,-49.2,54.4,8.7,-60.4,-0.2
Drafter,openai,-26.8,14.3,3.2,-5.1,-3.6
Electrician,openai,2.8,12.0,6.6,1.4,0.0
Engineer,openai,-2.7,25.6,5.9,-30.8,4.9
Garbagecollector,openai,12.8,62.9,12.0,0.3,-44.9
Housekeeper,openai,-11.6,74.0,16.1,4.3,-48.1
Insurancesalesagent,openai,-14.5,10.0,10.9,0.8,-5.7
Labtech,openai,-16.3,36.6,13.8,-37.7,-6.0
Librarian,openai,-17.4,-12.7,7.0,3.4,7.0
Mailcarrier,openai,12.9,-0.3,15.8,5.3,-10.7
Nursepractitioner,openai,-10.1,7.8,12.4,-6.3,-10.4
Nurse,openai,-12.6,25.3,13.8,3.4,-36.9
Pharmacist,openai,-39.8,59.7,9.9,-66.3,1.4
Pilot,openai,-0.8,-4.2,3.6,1.9,8.0
Plumber,openai,2.1,15.0,10.1,2.2,-2.1
Policeofficer,openai,10.0,36.1,-1.9,2.7,-21.8
Primaryschoolteacher,openai,-21.4,-8.4,11.2,2.9,3.4
Receptionist,openai,-10.9,68.3,12.7,0.3,-64.0
Roofer,openai,4.4,41.4,5.5,0.5,10.2
Securityguard,openai,24.5,52.6,-40.1,4.1,-3.1
Softwaredeveloper,openai,-18.9,39.3,6.5,-45.0,2.0
Specialedteacher,openai,-13.1,10.2,9.5,1.2,-18.2
Truckdriver,openai,6.9,-22.6,20.5,3.5,19.0
Welder,openai,5.6,9.1,11.1,2.3,-0.1
